ID_Pago;Fecha_Pago;ID_Contrato;Importe_Pagado;Estado_Pago;Dias_Retraso;Metodo_Pago;version_sistema;usuario_carga
PG00036;2024-06-05;CT0002;620;PAGADO;0;EFECTIVO;v3.2.1;mlopez
PG00037;2024-07-05;CT0002;0;Moroso;50;TRANSFERENCIA;v3.1.8;import_batch
PG00038;2024-08-05;CT0002;620;OK;0;EFECTIVO;v3.1.8;admin
PG00039;2024-09-05;CT0002;620;Al corriente;0;bizum;v3.1.8;admin
PG00040;2024-10-05;CT-0002;620;Pagado;0;EFECTIVO;v3.2.1;sistema_auto
PG00041;2024-11-05;CT0002;620;PAGADO;0;Efectivo;v3.2.1;mlopez
PG00042;2024-12-05;CT0002;620;PAGADO;0;BZM;v3.2.0;admin
PG00043;2025-01-05;CT0002;620;Cobrado;0;Transf.;v3.1.8;sistema_auto
PG00044;2025-02-05;CT0002;620;Pagado;0;Domiciliacion;v3.2.0;import_batch
PG00045;2025-03-05;CT0002;620;pagado;0;Domiciliación;v3.1.8;admin
PG00046;2025-04-05;CT0002;620;Al corriente;0;Bizum;v3.2.1;mlopez
PG00047;2024-11-05;CT0003;1380;pagado;0;Transf.;v3.2.0;jgarcia
PG00048;2024-12-05;CT0003;1380;PAG;0;Bizum;v3.1.8;mlopez
PG00049;2025-01-05;CT0003;1380;Cobrado;0;BIZUM;v3.2.0;admin
PG00050;2025-02-05;CT0003;1380;Al corriente;0;transferencia;v3.2.1;admin
PG00051;2025-03-05;CT0003;1380;Ok;0;Metalico;v3.2.0;mlopez
PG00052;2025-04-05;CT 0003;1380;P;0;Efectivo;v3.1.8;sistema_auto
PG00053;2025-05-05;CT0003;1380;PAGADO;0;Transf;v3.2.0;sistema_auto
PG00054;2025-06-05;CT0003;1380;PAG;0;TRANSFERENCIA;v3.2.1;jgarcia
PG00055;2025-07-05;CT0003;1380;Pdo.;0;Bizum;v3.2.0;admin
PG00056;2025-08-05;CT0003;1380;Con retraso;;BZM;v3.2.0;import_batch
PG00057;2025-09-05;ct-0003;1380;OK;0;Transferencia;v3.2.1;mlopez
PG00058;2025-10-05;CT0003;1380;PAG;0;Domic.;v3.1.8;jgarcia
PG00059;2023-08-05;CT0004;1410;Pdo.;0;Domiciliacion;v3.1.8;import_batch
PG00060;2023-09-05;CT0004;1410;Ok;0;Dom.;v3.2.0;mlopez
PG00061;2023-10-05;CT0004;1410;Al corriente;0;BIZUM;v3.2.0;mlopez
PG00062;2023-11-05;CT0004;1410;PAGADO;0;Domiciliacion;v3.2.0;import_batch
PG00063;2023-12-05;CT0004;1410;P;0;Cash;v3.2.0;import_batch
PG00064;2024-01-05;CT0004;1410;Pdo.;0;BZM;v3.2.1;admin
PG00065;2024-02-05;CT0004;1410;Pagado;0;Transferencia;v3.2.0;admin
PG00066;2024-03-05;CT0004;1410;Pagado;0;Domic.;v3.2.0;import_batch
PG00067;2024-04-05;CT0004;1410;Pdo.;0;efectivo;v3.1.8;mlopez
PG00068;2024-05-05;CT0004;1410;Ok;0;Domiciliacion;v3.2.1;mlopez
PG00069;2024-06-05;CT0004;1410;pagado;0;Domiciliación;v3.1.8;sistema_auto
PG00070;2024-07-05;CT0004;1410;Pagado;0;EFECTIVO;v3.2.0;mlopez
PG00071;2024-08-05;CT0004;1410;Al corriente;0;Metalico;v3.2.1;admin
PG00072;2024-09-05;CT0004;1410;Cobrado;0;bizum;v3.1.8;mlopez
PG00073;2024-10-05;CT0004;1410;Al corriente;0;Cash;v3.1.8;mlopez
PG00074;2024-11-05;CT0004;1410;PAGADO;0;Domiciliacion;v3.2.0;admin
PG00075;2024-12-05;CT0004;1410;P;0;Domiciliacion;v3.2.0;sistema_auto
PG00076;2025-01-05;CT0004;1410;Ok;0;Domiciliacion;v3.2.1;import_batch
PG00077;2025-02-05;CT0004;;IMP;50;Bizum;v3.2.0;import_batch
PG00078;2025-03-05;CT0004;1410;Pagado;0;efectivo;v3.2.0;mlopez
PG00079;2025-04-05;CT0004;0;IMPAGADO;80;Domiciliacion;v3.1.8;admin
PG00080;2025-05-05;CT0004;1410;PAGADO;0;Bizum;v3.2.1;jgarcia
PG00081;2025-06-05;CT0004;1410;PAGADO;0;efectivo;v3.2.1;import_batch
PG00082;2025-07-05;CT0004;1410;PAGADO;0;Domiciliacion;v3.2.1;import_batch
PG00083;2022-03-05;CT0005;0;NO;41;Transf.;v3.1.8;admin
PG00084;2022-04-05;CT0005;;impagado;N/D;DOM;v3.1.8;admin
PG00085;2022-05-05;CT0005;980;PAGADO;0;bizum;v3.2.1;sistema_auto
PG00086;2022-06-05;CT0005;980;pagado;0;Transf;v3.1.8;admin
PG00087;2022-07-05;CT0005;980;OK;0;efectivo;v3.1.8;jgarcia
PG00088;2022-08-05;CT0005;980;Pagado;0;Recibo;v3.1.8;mlopez
PG00089;2022-09-05;CT0005;980;Pdo.;0;Domic.;v3.2.1;jgarcia
PG00090;2022-10-05;CT0005;980;Al corriente;0;Domiciliacion;v3.2.0;mlopez
PG00091;2024-07-05;CT0006;970;PAGADO;0;Metalico;v3.1.8;jgarcia
PG00092;2024-08-05;CT0006;970;Ok;0;Cash;v3.2.1;sistema_auto
PG00093;2024-09-05;CT0006;970;PAGADO;0;Metalico;v3.1.8;sistema_auto
PG00094;2024-10-05;CT0006;970;pagado;0;BZM;v3.1.8;sistema_auto
PG00095;2024-11-05;CT0006;970;Pagado;0;Transferencia;v3.2.0;jgarcia
PG00096;2024-12-05;CT0006;970;Pagado;;Dom.;v3.2.0;import_batch
PG00097;2025-01-05;CT0006;970;Al corriente;0;Bizum;v3.2.1;sistema_auto
PG00098;2025-02-05;0006;970;Al corriente;0;transferencia;v3.2.0;jgarcia
PG00099;2025-03-05;CT0006;970;OK;0;efectivo;v3.2.1;import_batch
PG00100;2025-04-05;CT0006;-;IMP;51;EFECTIVO;v3.2.1;mlopez
PG00101;2025-05-05;CT0006;970;PAG;0;Transferencia;v3.2.1;import_batch
PG00102;2025-06-05;CT0006;970;Pagado;0;Dom.;v3.1.8;import_batch
PG00103;2024-06-05;CT0007;1080;Pagado;0;Cash;v3.1.8;admin
PG00104;2024-07-05;CT0007;1080;Pagado;0;Domiciliacion;v3.2.1;admin
PG00105;2024-08-05;CT0007;1080;Ok;0;Transf.;v3.2.0;import_batch
PG00106;2024-09-05;CT0007;1080;Cobrado;0;BIZUM;v3.1.8;import_batch
PG00107;2024-10-05;CT0007;1080;Al corriente;0;Transf.;v3.1.8;mlopez
PG00108;2024-11-05;CT0007;1080;PAG;;Dom.;v3.2.1;sistema_auto
PG00109;2024-12-05;CT0007;1080;Ok;0;BZM;v3.1.8;jgarcia
PG00110;2025-01-05;CT0007;1080;Ok;0;DOM;v3.2.1;sistema_auto
PG00111;2025-02-05;CT0007;1080;OK;0;Bizum;v3.1.8;sistema_auto
PG00112;2025-03-05;CT0007;1080;Pdo.;0;efectivo;v3.2.0;jgarcia
PG00113;2025-04-05;CT0007;1080;PAGADO;0;Cash;v3.2.1;import_batch
PG00114;2025-05-05;CT0007;1080;PAG;0;Bizum;v3.2.0;admin
PG00115;2025-06-05;CT0007;1080;OK;N/A;TRANSFERENCIA;v3.1.8;admin
PG00116;2025-07-05;CT0007;1080;Al corriente;0;BZM;v3.1.8;import_batch
PG00117;2025-08-05;CT0007;1080;PAGADO;0;Domiciliación;v3.2.0;mlopez
PG00118;2025-09-05;CT0007;1080;Con retraso;28;Dom.;v3.1.8;import_batch
PG00119;2025-10-05;CT0007;1080;pagado;0;DOMICILIACION;v3.2.0;admin
PG00120;2025-11-05;ct-0007;1080;pagado;999;EFE;v3.2.0;jgarcia
PG00121;2025-12-05;CT0007;-;Moroso;44;Cash;v3.2.1;admin
PG00122;2023-08-05;CT0008;1450;Ok;0;Domiciliación;v3.2.0;import_batch
PG00123;2023-09-05;CT0008;1450;Ok;0;EFECTIVO;v3.2.0;jgarcia
PG00124;2023-10-05;CT0008;1450;Cobrado;0;DOMICILIACION;v3.2.1;sistema_auto
PG00125;2023-11-05;CT0008;1450;Pdo.;0;Cash;v3.2.0;jgarcia
PG00126;2023-12-05;CT0008;1450;P;0;Domiciliacion;v3.1.8;jgarcia
PG00127;2024-01-05;CT0008;1450;pagado;0;TRANSFERENCIA;v3.2.0;jgarcia
PG00128;2024-02-05;CT0008;1450;Pdo.;0;Domiciliación;v3.2.1;import_batch
PG00129;2024-03-05;CT0008;1450;Al corriente;0;DOMICILIACION;v3.2.1;mlopez
PG00130;2024-04-05;CT0008;1450;OK;0;bizum;v3.2.1;sistema_auto
PG00131;2024-05-05;CT0008;1450;Cobrado;0;Efectivo;v3.2.1;import_batch
PG00132;2024-06-05;CT0008;1450;PAGADO;0;BZM;v3.1.8;import_batch
PG00133;2024-07-05;CT0008;1450;PAGADO;0;EFE;v3.2.0;jgarcia
PG00134;2024-08-05;CT0008;1450;Pagado;;BZM;v3.2.1;jgarcia
PG00135;2024-09-05;CT0008;1450;Ok;0;efectivo;v3.1.8;admin
PG00136;2024-10-05;CT0008;1450;P;0;bizum;v3.2.0;admin
PG00137;2024-11-05;CT0008;1450;Fuera de plazo;23;transferencia;v3.2.0;import_batch
PG00138;2024-12-05;CT0008;1450;Ok;0;bizum;v3.2.0;import_batch
PG00139;2025-01-05;CT0008;1450;PAGADO;0;BZM;v3.1.8;jgarcia
PG00140;2025-02-05;CT0008;1450;Pdo.;0;Bizum;v3.2.1;jgarcia
PG00141;2025-03-05;CT0008;1450;Al corriente;0;Metalico;v3.2.1;mlopez
PG00142;2025-04-05;CT0008;1450;PAG;0;DOMICILIACION;v3.1.8;sistema_auto
PG00143;2025-05-05;ct0008;1450;pagado;0;EFE;v3.2.1;sistema_auto
PG00144;2025-06-05;CT0008;1450;Al corriente;0;Recibo;v3.2.1;import_batch
PG00145;2025-07-05;CT0008;1450;pagado;0;Efectivo;v3.2.0;admin
PG00146;2025-08-05;CT0008;1450;PAG;0;Domic.;v3.1.8;sistema_auto
PG00147;2025-09-05;CT0008;1450;Al corriente;0;Cash;v3.1.8;sistema_auto
PG00148;2025-10-05;CT0008;1450;Al corriente;0;bizum;v3.2.0;jgarcia
PG00149;2025-11-05;CT0008;;No pagado;61;Recibo;v3.2.1;mlopez
PG00150;2025-12-05;CT0008;1450;Pagado;0;EFE;v3.1.8;sistema_auto
PG00151;2022-04-05;CT0009;N/D;No pagado;62;Efectivo;v3.2.1;admin
PG00152;2022-05-05;ct0009;580;Ok;0;EFE;v3.1.8;mlopez
PG00153;2022-06-05;CT0009;580;P;0;Efectivo;v3.1.8;jgarcia
PG00154;2022-07-05;CT0009;580;P;;Transf.;v3.1.8;jgarcia
PG00155;2022-08-05;CT0009;580;OK;0;Domic.;v3.2.1;mlopez
PG00156;2022-09-05;CT0009;580;Pagado;0;BZM;v3.2.0;sistema_auto
PG00157;2022-10-05;CT0009;580;OK;0;Bizum;v3.2.0;sistema_auto
PG00158;2022-11-05;CT0009;580;Pagado;0;efectivo;v3.2.0;mlopez
PG00159;2022-12-05;CT0009;580;Ok;0;EFECTIVO;v3.1.8;jgarcia
PG00160;2023-01-05;CT0009;580;OK;0;Transf.;v3.2.0;sistema_auto
PG00161;2023-02-05;CT0009;580;OK;0;BIZUM;v3.2.0;import_batch
PG00162;2023-03-05;CT0009;580;PAGADO;0;BZM;v3.1.8;jgarcia
PG00163;2023-04-05;CT0009;580;Ok;0;TRANSFERENCIA;v3.1.8;jgarcia
PG00164;2023-05-05;CT0009;580;Al corriente;0;Metalico;v3.2.0;sistema_auto
PG00165;2023-06-05;CT0009;580;Pdo.;0;EFE;v3.2.0;sistema_auto
PG00166;2023-07-05;CT0009;580;PAG;0;Domic.;v3.2.1;import_batch
PG00167;2023-08-05;CT0009;580;Al corriente;0;Transferencia;v3.2.1;sistema_auto
PG00168;2023-09-05;CT0009;580;Ok;0;Bizum;v3.2.0;sistema_auto
PG00169;2023-10-05;CT0009;580;Retraso;7;Efectivo;v3.1.8;sistema_auto
PG00170;2023-11-05;CT0009;580;Retraso;8;Dom.;v3.1.8;jgarcia
PG00171;2023-12-05;CT0009;580;OK;0;bizum;v3.2.0;sistema_auto
PG00172;2024-01-05;ct0009;580;Tarde;24;efectivo;v3.1.8;mlopez
PG00173;2024-02-05;CT0009;580;Cobrado;0;Domiciliacion;v3.1.8;admin
PG00174;2024-03-05;CT0009;580;P;0;Domiciliación;v3.2.1;mlopez
PG00175;2025-09-05;CT0010;1400;PAGADO;999;bizum;v3.2.1;sistema_auto
PG00176;2025-10-05;CT0010;1400;pagado;??;DOMICILIACION;v3.2.0;jgarcia
PG00177;2025-11-05;CT0010;1400;Pagado;0;BIZUM;v3.2.0;jgarcia
PG00178;2025-12-05;CT0010;1400;PAGADO;0;Bizum;v3.2.0;sistema_auto
PG00179;2023-12-05;CT0011;0;Moroso;62;TRANSF;v3.1.8;sistema_auto
PG00180;2024-01-05;CT0011;690;PAGADO;0;EFECTIVO;v3.1.8;jgarcia
PG00181;2024-02-05;CT0011;690;Tarde;13;Recibo;v3.2.1;admin
PG00182;2024-03-05;CT0011;690;OK;0;DOMICILIACION;v3.2.1;admin
PG00183;2024-04-05;CT0011;690;Cobrado;0;BIZUM;v3.2.0;mlopez
PG00184;2024-05-05;CT-0011;690;PAGADO;0;Efectivo;v3.1.8;sistema_auto
PG00185;2024-06-05;CT0011;690;pagado;0;BZM;v3.1.8;sistema_auto
PG00186;2024-07-05;ct0011;690;Al corriente;0;EFECTIVO;v3.2.1;sistema_auto
PG00187;2024-08-05;CT0011;690;P;0;Transf.;v3.2.1;admin
PG00188;2024-09-05;CT0011;690;Al corriente;0;bizum;v3.2.1;jgarcia
PG00189;2024-10-05;CT0011;690;Pdo.;0;bizum;v3.1.8;sistema_auto
PG00190;2024-11-05;CT0011;690;P;0;Cash;v3.1.8;import_batch
PG00191;2024-12-05;CT0011;690;PAG;999;TRF;v3.2.0;jgarcia
PG00192;2025-01-05;CT0011;690;Fuera de plazo;28;Transf.;v3.2.1;admin
PG00193;2025-02-05;CT0011;690;Pdo.;0;EFECTIVO;v3.2.1;jgarcia
PG00194;2025-03-05;CT0011;690;OK;0;BIZUM;v3.2.0;admin
PG00195;2025-04-05;CT0011;690;Atrasado;30;efectivo;v3.2.1;jgarcia
PG00196;2025-05-05;CT0011;690;Ok;0;Cash;v3.1.8;sistema_auto
PG00197;2025-06-05;CT0011;690;PAG;0;Cash;v3.2.1;jgarcia
PG00198;2025-07-05;CT0011;690;Cobrado;0;bizum;v3.2.0;import_batch
PG00199;2025-08-05;CT0011;690;pagado;0;Domiciliación;v3.2.0;admin
PG00200;2025-09-05;CT0011;690;Ok;0;Metalico;v3.1.8;sistema_auto
PG00201;2025-10-05;CT0011;690;Al corriente;0;Transf;v3.1.8;mlopez
PG00202;2025-11-05;ct0011;690;PAG;0;Efectivo;v3.2.1;jgarcia
PG00203;2025-12-05;CT0011;690;pagado;0;Dom.;v3.2.1;admin
PG00204;2024-02-05;0012;800;Pdo.;0;TRANSF;v3.2.0;admin
PG00205;2024-03-05;CT0012;0;Moroso;57;Domiciliación;v3.2.0;mlopez
PG00206;2024-04-05;CT0012;0;Moroso;88;DOM;v3.2.0;jgarcia
PG00207;2024-05-05;CT0012;800;RETRASO;14;Domiciliacion;v3.2.0;admin
PG00208;2024-06-05;CT0012;800;Fuera de plazo;13;Transf;v3.1.8;import_batch
PG00209;2024-07-05;CT-0012;800;Pagado;0;Bizum;v3.2.0;jgarcia
PG00210;2024-08-05;CT0012;800;Al corriente;0;DOM;v3.2.1;import_batch
PG00211;2024-09-05;CT0012;800;P;0;bizum;v3.1.8;import_batch
PG00212;2024-10-05;CT0012;800;Al corriente;0;Domiciliacion;v3.2.0;mlopez
PG00213;2024-11-05;CT0012;800;PAG;0;Transf.;v3.1.8;admin
PG00214;2024-12-05;CT0012;800;PAGADO;0;TRF;v3.2.0;jgarcia
PG00215;2025-01-05;CT0012;800;Pdo.;0;Transf;v3.2.0;import_batch
PG00216;2025-02-05;CT0012;800;PAGADO;0;Dom.;v3.2.1;import_batch
PG00217;2025-03-05;CT0012;800;pagado;0;efectivo;v3.2.1;mlopez
PG00218;2025-04-05;CT0012;800;P;0;Bizum;v3.2.1;admin
PG00219;2025-05-05;CT0012;800;Cobrado;0;Cash;v3.2.0;sistema_auto
PG00220;2025-06-05;CT0012;800;Cobrado;0;EFE;v3.2.1;sistema_auto
PG00221;2025-07-05;CT0012;800;pagado;0;EFECTIVO;v3.2.0;import_batch
PG00222;2025-08-05;CT0012;800;P;0;Transf.;v3.2.0;import_batch
PG00223;2025-09-05;0012;800;Cobrado;0;Bizum;v3.1.8;admin
PG00224;2025-10-05;CT0012;800;Tarde;9;EFECTIVO;v3.1.8;import_batch
PG00225;2025-11-05;CT0012;800;Ok;0;DOM;v3.2.0;sistema_auto
PG00226;2025-12-05;CT0012;800;Pdo.;0;Recibo;v3.2.1;sistema_auto
PG00227;2024-11-05;CT0013;1670;Ok;0;Transf.;v3.1.8;import_batch
PG00228;2024-12-05;CT0013;1670;Al corriente;0;Domiciliacion;v3.2.0;sistema_auto
PG00229;2025-01-05;CT0013;1670;Al corriente;0;Domic.;v3.1.8;jgarcia
PG00230;2025-02-05;CT0013;1670;Cobrado;0;Dom.;v3.2.0;admin
PG00231;2025-03-05;CT0013;1670;Con retraso;24;EFECTIVO;v3.2.1;admin
PG00232;2025-04-05;CT0013;1670;Con retraso;7;Transferencia;v3.2.1;sistema_auto
PG00233;2025-05-05;CT0013;1670;Al corriente;0;transferencia;v3.2.1;jgarcia
PG00234;2025-06-05;CT0013;1670;OK;0;Efectivo;v3.2.0;import_batch
PG00235;2025-07-05;CT0013;1670;OK;0;Efectivo;v3.2.1;jgarcia
PG00236;2025-08-05;CT0013;1670;Cobrado;0;DOM;v3.1.8;sistema_auto
PG00237;2025-09-05;0013;1670;Pagado;0;TRF;v3.2.0;import_batch
PG00238;2025-10-05;CT0013;1670;PAGADO;0;Bizum;v3.2.1;sistema_auto
PG00239;2024-09-05;CT0014;2560;OK;0;Transf;v3.1.8;mlopez
PG00240;2024-10-05;CT0014;2560;P;0;bizum;v3.1.8;admin
PG00241;2024-11-05;CT0014;2560;pagado;0;Domic.;v3.2.1;admin
PG00242;2024-12-05;CT0014;2560;Pagado;0;BIZUM;v3.2.0;sistema_auto
PG00243;2025-01-05;CT0014;2560;PAGADO;0;Domic.;v3.1.8;admin
PG00244;2025-02-05;CT0014;2560;Pdo.;0;TRANSFERENCIA;v3.1.8;admin
PG00245;2025-03-05;CT0014;2560;Pdo.;0;Transferencia;v3.2.0;jgarcia
PG00246;2025-04-05;CT0014;2560;PAG;0;Transf.;v3.2.1;sistema_auto
PG00247;2025-05-05;CT0014;0;NO;89;BZM;v3.2.0;mlopez
PG00248;2025-06-05;CT0014;2560;PAGADO;0;Cash;v3.1.8;admin
PG00249;2025-07-05;CT0014;2560;OK;N/D;Domiciliación;v3.1.8;import_batch
PG00250;2025-08-05;ct0014;2560;OK;0;TRANSF;v3.2.1;import_batch
PG00251;2025-09-05;CT0014;2560;P;0;Transf.;v3.2.0;admin
PG00252;2025-10-05;CT0014;2560;pagado;0;Domiciliación;v3.2.1;sistema_auto
PG00253;2025-11-05;CT0014;2560;Pdo.;0;Transferencia;v3.2.0;jgarcia
PG00254;2025-12-05;CT0014;2560;retraso;17;BIZUM;v3.2.0;mlopez
PG00255;2022-07-05;CT0015;910;OK;0;EFE;v3.1.8;mlopez
PG00256;2022-08-05;CT0015;910;PAGADO;0;Transf.;v3.1.8;sistema_auto
PG00257;2022-09-05;CT0015;910;Pagado;0;DOMICILIACION;v3.1.8;jgarcia
PG00258;2022-10-05;CT0015;910;PAG;0;BIZUM;v3.2.1;jgarcia
PG00259;2022-11-05;0015;910;Pdo.;0;DOMICILIACION;v3.2.1;admin
PG00260;2022-12-05;CT0015;0;IMP;39;BZM;v3.1.8;jgarcia
PG00261;2023-01-05;CT0015;910;Pdo.;0;TRANSF;v3.1.8;mlopez
PG00262;2023-02-05;CT0015;910;P;0;Cash;v3.2.0;mlopez
PG00263;2023-03-05;CT0015;910;Pagado;0;Domic.;v3.2.1;sistema_auto
PG00264;2023-04-05;CT0015;910;Cobrado;0;TRF;v3.2.1;sistema_auto
PG00265;2023-05-05;CT0015;910;RETRASO;8;efectivo;v3.1.8;import_batch
PG00266;2023-06-05;CT0015;910;Pagado;0;transferencia;v3.2.0;jgarcia
PG00267;2023-07-05;CT0015;910;PAG;0;Domiciliacion;v3.2.1;admin
PG00268;2023-08-05;CT0015;910;Pdo.;0;Dom.;v3.2.0;mlopez
PG00269;2023-09-05;CT0015;910;Pdo.;0;DOM;v3.2.0;import_batch
PG00270;2023-10-05;CT0015;910;Pdo.;0;BZM;v3.2.0;jgarcia
PG00271;2023-11-05;CT0015;910;Cobrado;0;bizum;v3.2.0;mlopez
PG00272;2023-12-05;CT0015;910;OK;0;Dom.;v3.2.1;admin
PG00273;2024-01-05;CT0015;910;OK;0;BZM;v3.1.8;jgarcia
PG00274;2024-02-05;CT0015;910;Ok;0;TRANSFERENCIA;v3.2.0;sistema_auto
PG00275;2025-06-05;CT0016;1930;Pdo.;0;Transferencia;v3.1.8;mlopez
PG00276;2025-07-05;CT0016;1930;Ok;0;Cash;v3.2.0;sistema_auto
PG00277;2025-08-05;CT0016;1930;Ok;0;TRF;v3.2.1;jgarcia
PG00278;2025-09-05;ct0016;1930;OK;0;Transf;v3.2.0;jgarcia
PG00279;2025-10-05;CT0016;1930;Pdo.;0;BIZUM;v3.2.1;sistema_auto
PG00280;2025-11-05;CT0016;1930;OK;0;Domiciliacion;v3.1.8;mlopez
PG00281;2025-12-05;CT0016;1930;PAGADO;-;BIZUM;v3.2.0;import_batch
PG00282;2022-12-05;CT0017;1200;Pagado;0;Transferencia;v3.2.1;admin
PG00283;2023-01-05;CT0017;1200;Pdo.;0;TRANSFERENCIA;v3.2.1;import_batch
PG00284;2023-02-05;CT0017;1200;PAGADO;0;Transferencia;v3.2.1;mlopez
PG00285;2023-03-05;CT0017;1200;P;0;efectivo;v3.1.8;sistema_auto
PG00286;2023-04-05;CT0017;1200;Pdo.;0;DOMICILIACION;v3.2.0;mlopez
PG00287;2023-05-05;CT0017;1200;P;0;Transf;v3.2.0;import_batch
PG00288;2023-06-05;CT0017;1200;PAGADO;0;Metalico;v3.1.8;mlopez
PG00289;2023-07-05;ct-0017;1200;Ok;0;DOM;v3.2.1;admin
PG00290;2023-08-05;CT0017;1200;Pagado;0;bizum;v3.2.0;sistema_auto
PG00291;2023-09-05;CT0017;1200;Cobrado;0;Transf;v3.2.1;mlopez
PG00292;2025-06-05;CT0018;2120;OK;0;TRANSF;v3.1.8;jgarcia
PG00293;2025-07-05;CT0018;2120;P;0;Transferencia;v3.1.8;mlopez
PG00294;2025-08-05;0018;2120;Al corriente;0;Transferencia;v3.2.0;import_batch
PG00295;2025-09-05;CT0018;0;No pagado;34;EFE;v3.2.0;mlopez
PG00296;2025-10-05;CT0018;2120;Retraso;29;bizum;v3.1.8;sistema_auto
PG00297;2025-11-05;CT0018;2120;OK;0;EFE;v3.2.1;jgarcia
PG00298;2025-12-05;CT0018;2120;Al corriente;0;Domic.;v3.2.1;admin
PG00299;2024-08-05;CT0019;2710;P;0;bizum;v3.2.0;import_batch
PG00300;2024-09-05;CT0019;2710;Al corriente;0;Domiciliacion;v3.2.0;jgarcia
PG00301;2024-10-05;CT0019;2710;PAG;0;EFE;v3.2.0;admin
PG00302;2024-11-05;CT0019;-;NO;79;Recibo;v3.2.1;import_batch
PG00303;2024-12-05;CT0019;2710;Pdo.;0;Domiciliacion;v3.1.8;sistema_auto
PG00304;2025-01-05;CT0019;2710;Pagado;0;Metalico;v3.2.1;mlopez
PG00305;2025-02-05;ct0019;2710;P;0;bizum;v3.2.0;admin
PG00306;2025-03-05;CT0019;2710;Pdo.;0;Transferencia;v3.2.1;admin
PG00307;2025-04-05;CT0019;0;Moroso;30;EFECTIVO;v3.2.0;jgarcia
PG00308;2025-05-05;CT 0019;2710;Ok;0;BIZUM;v3.2.1;jgarcia
PG00309;2025-06-05;CT0019;2710;pagado;0;DOMICILIACION;v3.1.8;import_batch
PG00310;2025-07-05;ct-0019;2710;PAGADO;0;Transf.;v3.1.8;admin
PG00311;2025-08-05;CT0019;N/D;IMP;39;BIZUM;v3.2.1;sistema_auto
PG00312;2025-09-05;CT0019;2710;OK;0;Dom.;v3.2.0;sistema_auto
PG00313;2025-10-05;CT0019;2710;Con retraso;21;Metalico;v3.1.8;jgarcia
PG00314;2025-11-05;CT0019;2710;Pdo.;0;bizum;v3.2.0;admin
