Suma de Dias_Retraso,Estado_Pago,Año,Trimestre,Mes,Día,ID_Contrato,ID_Pago,Suma de Importe_Pagado,Metodo_Pago
22,Fuera De Plazo,2023,Qtr 3,julio,5,CT0053,PG00837,960 €,Bizum
11,Fuera De Plazo,2023,Qtr 3,julio,5,CT0063,PG00976,720 €,Domiciliación
8,Fuera De Plazo,2023,Qtr 3,julio,5,CT0131,PG01986,470 €,Bizum
7,Fuera De Plazo,2023,Qtr 3,agosto,5,CT0110,PG01667,2220 €,Transferencia
17,Fuera De Plazo,2023,Qtr 3,septiembre,5,CT0061,PG00934,1440 €,Bizum
5,Fuera De Plazo,2023,Qtr 3,septiembre,5,CT0084,PG01267,1950 €,Bizum
99,Fuera De Plazo,2023,Qtr 3,septiembre,5,CT0115,PG01741,1500 €,Efectivo
14,Fuera De Plazo,2023,Qtr 4,octubre,5,CT0002,PG00028,620 €,Domiciliación
7,Fuera De Plazo,2023,Qtr 4,octubre,5,ct0009,PG00169,580 €,Efectivo
14,Fuera De Plazo,2023,Qtr 4,octubre,5,CT0043,PG00628,1090 €,Bizum
20,Fuera De Plazo,2023,Qtr 4,octubre,5,CT0069,PG01044,1490 €,Transferencia
15,Fuera De Plazo,2023,Qtr 4,octubre,5,CT0115,PG01742,1500 €,Transferencia
20,Fuera De Plazo,2023,Qtr 4,octubre,5,CT0127,PG01883,1610 €,Bizum
8,Fuera De Plazo,2023,Qtr 4,noviembre,5,ct0009,PG00170,580 €,Domiciliación
23,Fuera De Plazo,2023,Qtr 4,noviembre,5,CT0042,PG00620,2710 €,Efectivo
23,Fuera De Plazo,2023,Qtr 4,noviembre,5,CT0053,PG00841,960 €,Bizum
29,Fuera De Plazo,2023,Qtr 4,noviembre,5,CT0058,PG00899,1410 €,Efectivo
10,Fuera De Plazo,2023,Qtr 4,noviembre,5,CT0061,PG00936,1440 €,Efectivo
26,Fuera De Plazo,2023,Qtr 4,noviembre,5,CT0084,PG01269,1950 €,Domiciliación
24,Fuera De Plazo,2024,Qtr 1,enero,5,ct0009,PG00172,580 €,Efectivo
17,Fuera De Plazo,2024,Qtr 1,enero,5,CT0048,PG00732,1590 €,Efectivo
27,Fuera De Plazo,2024,Qtr 1,enero,5,CT0058,PG00901,1410 €,Efectivo
30,Fuera De Plazo,2024,Qtr 1,enero,5,CT0061,PG00938,1440 €,Bizum
12,Fuera De Plazo,2024,Qtr 1,enero,5,CT0091,PG01375,950 €,Bizum
14,Fuera De Plazo,2024,Qtr 1,enero,5,CT0118,PG01768,670 €,Transferencia
24,Fuera De Plazo,2024,Qtr 1,enero,5,ct-0127,PG01886,1610 €,Bizum
13,Fuera De Plazo,2024,Qtr 1,febrero,5,CT0011,PG00181,690 €,Recibo
17,Fuera De Plazo,2024,Qtr 1,febrero,5,CT0095,PG01458,2070 €,Domiciliación
26,Fuera De Plazo,2024,Qtr 1,marzo,5,CT0036,PG00547,1200 €,Bizum
25,Fuera De Plazo,2024,Qtr 1,marzo,5,CT0042,PG00624,2710 €,Domiciliación
10,Fuera De Plazo,2024,Qtr 1,marzo,5,CT0111,PG01693,1020 €,Domiciliación
26,Fuera De Plazo,2024,Qtr 2,abril,5,CT0049,PG00756,2090 €,Bizum
23,Fuera De Plazo,2024,Qtr 2,abril,5,CT0063,PG00985,720 €,Bizum
15,Fuera De Plazo,2024,Qtr 2,abril,5,CT0084,PG01274,1950 €,Efectivo
18,Fuera De Plazo,2024,Qtr 2,abril,5,CT0086,PG01298,490 €,Domiciliación
14,Fuera De Plazo,2024,Qtr 2,mayo,5,CT0012,PG00207,800 €,Domiciliación
23,Fuera De Plazo,2024,Qtr 2,mayo,5,CT0025,PG00406,1860 €,Efectivo
29,Fuera De Plazo,2024,Qtr 2,mayo,5,CT0092,PG01407,980 €,Bizum
13,Fuera De Plazo,2024,Qtr 2,junio,5,CT0012,PG00208,800 €,Transferencia
9,Fuera De Plazo,2024,Qtr 2,junio,5,CT0107,PG01611,340 €,Transferencia
28,Fuera De Plazo,2024,Qtr 2,junio,5,CT0111,PG01696,1020 €,Efectivo
9,Fuera De Plazo,2024,Qtr 2,junio,5,CT0122,PG01803,2670 €,Transferencia
30,Fuera De Plazo,2024,Qtr 3,julio,5,CT0020,PG00321,720 €,Efectivo
24,Fuera De Plazo,2024,Qtr 3,julio,5,CT-0057,PG00890,1500 €,Transferencia
14,Fuera De Plazo,2024,Qtr 3,julio,5,CT0084,PG01277,1950 €,Domiciliación
26,Fuera De Plazo,2024,Qtr 3,julio,5,CT0107,PG01612,340 €,Efectivo
6,Fuera De Plazo,2024,Qtr 3,julio,5,CT0109,PG01645,2070 €,Recibo
8,Fuera De Plazo,2024,Qtr 3,julio,5,CT0130,PG01961,730 €,Efectivo
8,Fuera De Plazo,2024,Qtr 3,julio,5,CT0149,PG02218,2320 €,Efectivo
18,Fuera De Plazo,2024,Qtr 3,agosto,5,CT0050,PG00773,750 €,Transferencia
15,Fuera De Plazo,2024,Qtr 3,agosto,5,CT0069,PG01054,1490 €,Efectivo
11,Fuera De Plazo,2024,Qtr 3,agosto,5,ct0073,PG01109,1760 €,Transferencia
20,Fuera De Plazo,2024,Qtr 3,agosto,5,CT0086,PG01302,490 €,Bizum
30,Fuera De Plazo,2024,Qtr 3,agosto,5,CT0100,PG01515,2990 €,Efectivo
27,Fuera De Plazo,2024,Qtr 3,agosto,5,CT0105,PG01592,890 €,Recibo
22,Fuera De Plazo,2024,Qtr 3,agosto,5,CT0108,PG01643,1420 €,Domiciliación
24,Fuera De Plazo,2024,Qtr 3,agosto,5,CT0140,PG02111,1070 €,Domiciliación
20,Fuera De Plazo,2024,Qtr 3,septiembre,5,CT0046,PG00687,480 €,Domiciliación
21,Fuera De Plazo,2024,Qtr 3,septiembre,5,CT0079,PG01190,460 €,Domiciliación
12,Fuera De Plazo,2024,Qtr 3,septiembre,5,CT0086,PG01303,490 €,Efectivo
16,Fuera De Plazo,2024,Qtr 3,septiembre,5,CT0093,PG01411,720 €,Efectivo
23,Fuera De Plazo,2024,Qtr 3,septiembre,5,CT0107,PG01614,340 €,Transferencia
30,Fuera De Plazo,2024,Qtr 3,septiembre,5,CT0128,PG01930,1470 €,Efectivo
25,Fuera De Plazo,2024,Qtr 3,septiembre,5,CT0132,PG02014,2090 €,Recibo
11,Fuera De Plazo,2024,Qtr 3,septiembre,5,CT0150,PG02230,1680 €,Efectivo
18,Fuera De Plazo,2024,Qtr 4,octubre,5,CT0032,PG00500,1790 €,Efectivo
22,Fuera De Plazo,2024,Qtr 4,octubre,5,CT0061,PG00947,1440 €,Bizum
29,Fuera De Plazo,2024,Qtr 4,octubre,5,CT0063,PG00991,720 €,Domiciliación
7,Fuera De Plazo,2024,Qtr 4,octubre,5,CT0090,PG01359,1230 €,Bizum
17,Fuera De Plazo,2024,Qtr 4,octubre,5,CT0112,PG01702,1600 €,Recibo
25,Fuera De Plazo,2024,Qtr 4,octubre,5,CT0125,PG01852,1750 €,Domiciliación
16,Fuera De Plazo,2024,Qtr 4,octubre,5,CT0128,PG01931,1470 €,Domiciliación
23,Fuera De Plazo,2024,Qtr 4,noviembre,5,CT 0031,PG00481,470 €,Transferencia
23,Fuera De Plazo,2024,Qtr 4,noviembre,5,CT0008,PG00137,1450 €,Transferencia
10,Fuera De Plazo,2024,Qtr 4,noviembre,5,CT0130,PG01965,730 €,Efectivo
28,Fuera De Plazo,2024,Qtr 4,noviembre,5,CT0133,PG02018,1420 €,Transferencia
15,Fuera De Plazo,2024,Qtr 4,noviembre,5,CT0142,PG02142,2240 €,Efectivo
23,Fuera De Plazo,2024,Qtr 4,diciembre,5,CT0089,PG01334,760 €,Domiciliación
30,Fuera De Plazo,2024,Qtr 4,diciembre,5,CT0109,PG01650,2070 €,Transferencia
28,Fuera De Plazo,2024,Qtr 4,diciembre,5,CT0149,PG02223,2320 €,Efectivo
28,Fuera De Plazo,2025,Qtr 1,enero,5,CT0011,PG00192,690 €,Transferencia
6,Fuera De Plazo,2025,Qtr 1,enero,5,CT0023,PG00359,1210 €,Domiciliación
13,Fuera De Plazo,2025,Qtr 1,enero,5,CT0031,PG00483,470 €,Efectivo
22,Fuera De Plazo,2025,Qtr 1,enero,5,CT0057,PG00896,1500 €,Transferencia
9,Fuera De Plazo,2025,Qtr 1,enero,5,CT0068,PG01040,1470 €,Domiciliación
10,Fuera De Plazo,2025,Qtr 1,febrero,5,CT-0044,PG00661,1460 €,Transferencia
20,Fuera De Plazo,2025,Qtr 1,febrero,5,CT0074,PG01129,2720 €,Efectivo
19,Fuera De Plazo,2025,Qtr 1,febrero,5,CT0093,PG01416,720 €,Transferencia
16,Fuera De Plazo,2025,Qtr 1,febrero,5,CT0124,PG01823,580 €,Efectivo
16,Fuera De Plazo,2025,Qtr 1,febrero,5,CT0140,PG02117,1070 €,Efectivo
24,Fuera De Plazo,2025,Qtr 1,marzo,5,CT0013,PG00231,1670 €,Efectivo
7,Fuera De Plazo,2025,Qtr 1,marzo,5,CT0059,PG00907,760 €,Bizum
20,Fuera De Plazo,2025,Qtr 1,marzo,5,ct-0069,PG01061,1490 €,Domiciliación
10,Fuera De Plazo,2025,Qtr 1,marzo,5,CT0078,PG01173,800 €,Domiciliación
28,Fuera De Plazo,2025,Qtr 1,marzo,5,CT0150,PG02236,1680 €,Efectivo
30,Fuera De Plazo,2025,Qtr 2,abril,5,CT0011,PG00195,690 €,Efectivo
7,Fuera De Plazo,2025,Qtr 2,abril,5,CT0013,PG00232,1670 €,Transferencia
7,Fuera De Plazo,2025,Qtr 2,abril,5,CT0022,PG00348,990 €,Transferencia
26,Fuera De Plazo,2025,Qtr 2,abril,5,CT0046,PG00694,480 €,Transferencia
18,Fuera De Plazo,2025,Qtr 2,abril,5,CT0050,PG00781,750 €,Efectivo
5,Fuera De Plazo,2025,Qtr 2,abril,5,CT0055,PG00865,900 €,Domiciliación
17,Fuera De Plazo,2025,Qtr 2,abril,5,CT0067,PG01027,1620 €,Bizum
18,Fuera De Plazo,2025,Qtr 2,abril,5,CT0099,PG01494,1720 €,Bizum
7,Fuera De Plazo,2025,Qtr 2,mayo,5,CT0020,PG00331,720 €,Domiciliación
25,Fuera De Plazo,2025,Qtr 2,mayo,5,CT0033,PG00519,650 €,Domiciliación
20,Fuera De Plazo,2025,Qtr 2,mayo,5,CT0091,PG01391,950 €,Efectivo
23,Fuera De Plazo,2025,Qtr 2,mayo,5,CT0150,PG02238,1680 €,Recibo
27,Fuera De Plazo,2025,Qtr 2,junio,5,CT0032,PG00508,1790 €,Domiciliación
28,Fuera De Plazo,2025,Qtr 2,junio,5,CT0043,PG00648,1090 €,Domiciliación
30,Fuera De Plazo,2025,Qtr 2,junio,5,CT0062,PG00957,1860 €,Bizum
25,Fuera De Plazo,2025,Qtr 2,junio,5,CT0067,PG01029,1620 €,Bizum
15,Fuera De Plazo,2025,Qtr 2,junio,5,CT0078,PG01176,800 €,Bizum
19,Fuera De Plazo,2025,Qtr 2,junio,5,CT0113,PG01712,2770 €,Efectivo
26,Fuera De Plazo,2025,Qtr 2,junio,5,CT0137,PG02067,490 €,Transferencia
30,Fuera De Plazo,2025,Qtr 3,julio,5,CT0022,PG00351,990 €,Bizum
29,Fuera De Plazo,2025,Qtr 3,julio,5,ct0073,PG01120,1760 €,Transferencia
24,Fuera De Plazo,2025,Qtr 3,julio,5,CT0074,PG01134,2720 €,Domiciliación
7,Fuera De Plazo,2025,Qtr 3,julio,5,CT0124,PG01828,580 €,Recibo
18,Fuera De Plazo,2025,Qtr 3,julio,5,CT0134,PG02041,590 €,Bizum
21,Fuera De Plazo,2025,Qtr 3,julio,5,ct0147,PG02195,850 €,Transferencia
11,Fuera De Plazo,2025,Qtr 3,agosto,5,CT 0065,PG01008,2010 €,Domiciliación
22,Fuera De Plazo,2025,Qtr 3,agosto,5,CT 0091,PG01394,950 €,Bizum
10,Fuera De Plazo,2025,Qtr 3,agosto,5,CT0027,PG00431,780 €,Transferencia
5,Fuera De Plazo,2025,Qtr 3,agosto,5,CT0031,PG00490,470 €,Bizum
29,Fuera De Plazo,2025,Qtr 3,agosto,5,CT0033,PG00522,650 €,Transferencia
17,Fuera De Plazo,2025,Qtr 3,agosto,5,CT0137,PG02069,490 €,Transferencia
19,Fuera De Plazo,2025,Qtr 3,agosto,5,CT0141,PG02133,520 €,Domiciliación
28,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT0007,PG00118,1080 €,Domiciliación
30,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT-0035,PG00539,950 €,Efectivo
22,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT0045,PG00675,1440 €,Domiciliación
22,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT0051,PG00808,520 €,Efectivo
10,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT0072,PG01105,670 €,Transferencia
22,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT0089,PG01343,760 €,Transferencia
17,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT0137,PG02070,490 €,Bizum
23,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT0139,PG02095,640 €,Domiciliación
24,Fuera De Plazo,2025,Qtr 3,septiembre,5,CT0146,PG02184,1320 €,Domiciliación
15,Fuera De Plazo,2025,Qtr 4,octubre,5,CT 0079,PG01203,460 €,Bizum
9,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0012,PG00224,800 €,Efectivo
29,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0018,PG00296,2120 €,Bizum
21,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0019,PG00313,2710 €,Efectivo
29,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0046,PG00700,480 €,Domiciliación
20,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0069,PG01068,1490 €,Bizum
21,Fuera De Plazo,2025,Qtr 4,octubre,5,ct-0077,PG01165,540 €,Transferencia
14,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0082,PG01239,740 €,Transferencia
5,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0083,PG01253,560 €,Bizum
6,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0091,PG01396,950 €,Bizum
8,Fuera De Plazo,2025,Qtr 4,octubre,5,CT0116,PG01749,1310 €,Efectivo
26,Fuera De Plazo,2025,Qtr 4,noviembre,5,CT0031,PG00493,470 €,Transferencia
18,Fuera De Plazo,2025,Qtr 4,noviembre,5,CT0079,PG01204,460 €,Efectivo
24,Fuera De Plazo,2025,Qtr 4,noviembre,5,ct-0090,PG01372,1230 €,Efectivo
12,Fuera De Plazo,2025,Qtr 4,noviembre,5,CT0099,PG01501,1720 €,Efectivo
25,Fuera De Plazo,2025,Qtr 4,noviembre,5,CT0139,PG02097,640 €,Recibo
17,Fuera De Plazo,2025,Qtr 4,diciembre,5,CT0014,PG00254,2560 €,Bizum
10,Fuera De Plazo,2025,Qtr 4,diciembre,5,CT0027,PG00435,780 €,Efectivo
8,Fuera De Plazo,2025,Qtr 4,diciembre,5,CT0079,PG01205,460 €,Domiciliación
11,Fuera De Plazo,2025,Qtr 4,diciembre,5,CT0113,PG01718,2770 €,Efectivo
25,Fuera De Plazo,2025,Qtr 4,diciembre,5,CT0137,PG02073,490 €,Bizum
19,Fuera De Plazo,2025,Qtr 4,diciembre,5,CT0139,PG02098,640 €,Domiciliación
41,Impagado,2022,Qtr 1,marzo,5,CT0005,PG00083,0 €,Transferencia
46,Impagado,2022,Qtr 2,abril,5,CT0106,PG01600,0 €,Bizum
36,Impagado,2022,Qtr 2,mayo,5,CT0024,PG00374,0 €,Domiciliación
55,Impagado,2022,Qtr 2,mayo,5,CT0060,PG00918,0 €,Domiciliación
71,Impagado,2022,Qtr 2,junio,5,CT0048,PG00713,0 €,Domiciliación
33,Impagado,2022,Qtr 2,junio,5,CT0049,PG00734,999 €,Transferencia
58,Impagado,2022,Qtr 3,julio,5,CT0047,PG00707,0 €,Domiciliación
82,Impagado,2022,Qtr 3,julio,5,CT-0126,PG01858,0 €,Transferencia
63,Impagado,2022,Qtr 3,septiembre,5,CT0063,PG00966,0 €,Transferencia
32,Impagado,2022,Qtr 4,octubre,5,CT0087,PG01311,0 €,Efectivo
39,Impagado,2022,Qtr 4,diciembre,5,CT0015,PG00260,0 €,Bizum
70,Impagado,2022,Qtr 4,diciembre,5,CT0034,PG00536,999 €,Bizum
32,Impagado,2022,Qtr 4,diciembre,5,CT0114,PG01725,0 €,Efectivo
34,Impagado,2023,Qtr 1,enero,5,CT0049,PG00741,0 €,Domiciliación
40,Impagado,2023,Qtr 1,enero,5,CT0128,PG01910,0 €,Transferencia
62,Impagado,2023,Qtr 1,marzo,5,CT0130,PG01945,999 €,Bizum
73,Impagado,2023,Qtr 2,abril,5,CT0048,PG00723,0 €,Bizum
82,Impagado,2023,Qtr 2,junio,5,CT0050,PG00759,0 €,Transferencia
53,Impagado,2023,Qtr 3,julio,5,CT0025,PG00396,0 €,Efectivo
78,Impagado,2023,Qtr 3,julio,5,CT0095,PG01451,0 €,Efectivo
57,Impagado,2023,Qtr 3,julio,5,CT0128,PG01916,999 €,Domiciliación
58,Impagado,2023,Qtr 3,agosto,5,CT0135,PG02053,0 €,Efectivo
76,Impagado,2023,Qtr 4,octubre,5,CT0025,PG00399,0 €,Efectivo
81,Impagado,2023,Qtr 4,noviembre,5,CT 0031,PG00469,0 €,Domiciliación
62,Impagado,2023,Qtr 4,diciembre,5,CT0011,PG00179,0 €,Transferencia
73,Impagado,2024,Qtr 1,febrero,5,CT0048,PG00733,0 €,Bizum
30,Impagado,2024,Qtr 1,febrero,5,CT0091,PG01376,0 €,Transferencia
57,Impagado,2024,Qtr 1,marzo,5,CT0012,PG00205,0 €,Domiciliación
88,Impagado,2024,Qtr 2,abril,5,CT0012,PG00206,0 €,Domiciliación
70,Impagado,2024,Qtr 2,abril,5,CT0105,PG01588,0 €,Transferencia
47,Impagado,2024,Qtr 2,mayo,5,CT0043,PG00635,0 €,Transferencia
59,Impagado,2024,Qtr 2,junio,5,0070,PG01093,0 €,Transferencia
32,Impagado,2024,Qtr 2,junio,5,ct-0130,PG01960,0 €,Efectivo
50,Impagado,2024,Qtr 3,julio,5,CT0002,PG00037,0 €,Transferencia
72,Impagado,2024,Qtr 3,julio,5,CT0044,PG00654,0 €,Bizum
40,Impagado,2024,Qtr 3,julio,5,CT0090,PG01356,0 €,Bizum
64,Impagado,2024,Qtr 3,julio,5,CT0122,PG01804,0 €,Bizum
48,Impagado,2024,Qtr 3,septiembre,5,CT0140,PG02112,999 €,Domiciliación
86,Impagado,2024,Qtr 4,octubre,5,CT0027,PG00421,0 €,Efectivo
84,Impagado,2025,Qtr 1,enero,5,CT0043,PG00643,0 €,Domiciliación
44,Impagado,2025,Qtr 1,enero,5,CT0055,PG00862,0 €,Efectivo
48,Impagado,2025,Qtr 1,enero,5,CT0067,PG01024,0 €,Bizum
90,Impagado,2025,Qtr 1,enero,5,CT0141,PG02126,0 €,Transferencia
50,Impagado,2025,Qtr 1,febrero,5,CT0004,PG00077,0 €,Bizum
43,Impagado,2025,Qtr 1,marzo,5,CT0020,PG00329,0 €,Efectivo
80,Impagado,2025,Qtr 2,abril,5,CT0004,PG00079,0 €,Domiciliación
30,Impagado,2025,Qtr 2,abril,5,CT0019,PG00307,0 €,Efectivo
61,Impagado,2025,Qtr 2,abril,5,CT0134,PG02038,0 €,Transferencia
78,Impagado,2025,Qtr 2,mayo,5,0080,PG01212,0 €,Transferencia
89,Impagado,2025,Qtr 2,mayo,5,CT0014,PG00247,0 €,Bizum
42,Impagado,2025,Qtr 2,mayo,5,CT0022,PG00349,0 €,Efectivo
73,Impagado,2025,Qtr 2,mayo,5,ct0147,PG02193,0 €,Domiciliación
73,Impagado,2025,Qtr 2,junio,5,CT0030,PG00462,0 €,Efectivo
30,Impagado,2025,Qtr 3,julio,5,CT0046,PG00697,0 €,Transferencia
30,Impagado,2025,Qtr 3,julio,5,CT0089,PG01341,0 €,Bizum
35,Impagado,2025,Qtr 3,julio,5,CT0100,PG01526,0 €,Domiciliación
80,Impagado,2025,Qtr 3,agosto,5,CT0023,PG00366,0 €,Bizum
65,Impagado,2025,Qtr 3,agosto,5,CT0142,PG02151,0 €,Efectivo
34,Impagado,2025,Qtr 3,septiembre,5,CT0018,PG00295,0 €,Efectivo
68,Impagado,2025,Qtr 3,septiembre,5,CT0103,PG01556,0 €,Domiciliación
84,Impagado,2025,Qtr 3,septiembre,5,CT0150,PG02242,0 €,Efectivo
61,Impagado,2025,Qtr 4,noviembre,5,CT0008,PG00149,0 €,Recibo
73,Impagado,2025,Qtr 4,noviembre,5,CT0104,PG01571,999 €,Transferencia
44,Impagado,2025,Qtr 4,diciembre,5,CT0001,PG00010,0 €,Bizum
44,Impagado,2025,Qtr 4,diciembre,5,CT0031,PG00494,0 €,Domiciliación
46,Impagado,2025,Qtr 4,diciembre,5,CT0035,PG00542,0 €,Efectivo
0,Pagado,2022,Qtr 1,enero,5,CT0106,PG01597,2480 €,Transferencia
0,Pagado,2022,Qtr 1,febrero,5,CT0024,PG00371,2190 €,Bizum
0,Pagado,2022,Qtr 1,febrero,5,CT0056,PG00874,1570 €,Efectivo
0,Pagado,2022,Qtr 1,febrero,5,CT0106,PG01598,2480 €,Transferencia
0,Pagado,2022,Qtr 1,febrero,5,CT0126,PG01853,1400 €,Bizum
0,Pagado,2022,Qtr 1,febrero,5,CT0138,PG02074,3020 €,Bizum
0,Pagado,2022,Qtr 1,marzo,5,CT0024,PG00372,2190 €,Efectivo
0,Pagado,2022,Qtr 1,marzo,5,CT0034,PG00527,1260 €,Efectivo
0,Pagado,2022,Qtr 1,marzo,5,CT0047,PG00703,2030 €,Bizum
0,Pagado,2022,Qtr 1,marzo,5,CT0048,PG00710,1590 €,Domiciliación
0,Pagado,2022,Qtr 1,marzo,5,CT0056,PG00875,1570 €,Transferencia
0,Pagado,2022,Qtr 1,marzo,5,CT0095,PG01435,2070 €,Transferencia
0,Pagado,2022,Qtr 1,marzo,5,CT0102,PG01540,480 €,Efectivo
0,Pagado,2022,Qtr 1,marzo,5,CT0106,PG01599,2480 €,Bizum
0,Pagado,2022,Qtr 1,marzo,5,CT0126,PG01854,1400 €,Transferencia
0,Pagado,2022,Qtr 2,abril,5,CT0024,PG00373,2190 €,Domiciliación
0,Pagado,2022,Qtr 2,abril,5,CT0029,PG00448,1580 €,Efectivo
0,Pagado,2022,Qtr 2,abril,5,CT0047,PG00704,2030 €,Efectivo
0,Pagado,2022,Qtr 2,abril,5,CT0048,PG00711,1590 €,Bizum
0,Pagado,2022,Qtr 2,abril,5,CT0056,PG00876,1570 €,Domiciliación
0,Pagado,2022,Qtr 2,abril,5,CT0060,PG00917,1060 €,Bizum
0,Pagado,2022,Qtr 2,abril,5,CT0098,PG01480,2370 €,Efectivo
0,Pagado,2022,Qtr 2,abril,5,CT0102,PG01541,480 €,Transferencia
0,Pagado,2022,Qtr 2,abril,5,CT0119,PG01776,320 €,Transferencia
0,Pagado,2022,Qtr 2,abril,5,CT0126,PG01855,1400 €,Bizum
0,Pagado,2022,Qtr 2,abril,5,CT0128,PG01901,1470 €,Domiciliación
0,Pagado,2022,Qtr 2,abril,5,CT0138,PG02076,3020 €,Efectivo
0,Pagado,2022,Qtr 2,mayo,5,CT0002,PG00011,620 €,Transferencia
0,Pagado,2022,Qtr 2,mayo,5,CT0005,PG00085,980 €,Bizum
0,Pagado,2022,Qtr 2,mayo,5,ct0009,PG00152,580 €,Efectivo
