codigo,magnitud,tipoMagnitud,lugar,profundidadKm,tsunami,red,alerta,sentidos,estado,fechaHora,fuentes,estaciones,ubicacion
ak600000011,6.0,mw,"Aleutian Islands, Alaska",597.1,False,pr,,3619,reviewed,2026-02-06T23:46:00Z,"[""ak"", ""uu"", ""pr""]","[{""codigo"": ""AK.ADAG"", ""distanciaKm"": 146, ""magnitudLocal"": 5.5}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 71, ""magnitudLocal"": 6.1}]","{""type"": ""Point"", ""coordinates"": [160.218338, 34.383532]}"
ak600000012,1.7,mwr,"Mexico City, Mexico",25.3,False,nc,,1266,automatic,2026-11-09T23:04:00Z,"[""uu""]","[{""codigo"": ""II.PFO"", ""distanciaKm"": 162, ""magnitudLocal"": 1.6}, {""codigo"": ""II.PFO"", ""distanciaKm"": 188, ""magnitudLocal"": 1.4}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 57, ""magnitudLocal"": 1.6}]","{""type"": ""Point"", ""coordinates"": [111.877819, 68.654917]}"
ak600000013,0.7,mb,"Mexico City, Mexico",515.6,False,hv,yellow,2282,automatic,2026-06-30T17:02:00Z,"[""hv"", ""pr""]","[{""codigo"": ""GE.STU"", ""distanciaKm"": 60, ""magnitudLocal"": 0.6}, {""codigo"": ""II.PFO"", ""distanciaKm"": 245, ""magnitudLocal"": 0.4}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 184, ""magnitudLocal"": 0.5}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 119, ""magnitudLocal"": 0.2}]","{""type"": ""Point"", ""coordinates"": [3.386043, 32.313261]}"
ak600000014,7.2,mwr,"Tokyo, Japan",231.9,False,ci,green,4723,automatic,2026-07-10T05:03:00Z,"[""ak"", ""pr""]","[{""codigo"": ""IU.ANMO"", ""distanciaKm"": 24, ""magnitudLocal"": 6.8}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 181, ""magnitudLocal"": 7.4}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 228, ""magnitudLocal"": 7.3}]","{""type"": ""Point"", ""coordinates"": [-23.019294, 3.585663]}"
ak600000015,7.0,mw,"Aleutian Islands, Alaska",480.8,False,us,,3444,reviewed,2026-05-24T11:26:00Z,"[""pr"", ""us"", ""nc""]","[{""codigo"": ""AK.ADAG"", ""distanciaKm"": 40, ""magnitudLocal"": 7.4}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 165, ""magnitudLocal"": 7.2}, {""codigo"": ""II.KIV"", ""distanciaKm"": 158, ""magnitudLocal"": 7.0}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 172, ""magnitudLocal"": 6.9}]","{""type"": ""Point"", ""coordinates"": [24.877892, -16.90647]}"
ak600000016,7.2,mb,"Aleutian Islands, Alaska",212.8,False,ak,,378,automatic,2026-08-23T15:42:00Z,"[""nc"", ""ak""]","[{""codigo"": ""HV.HILO"", ""distanciaKm"": 231, ""magnitudLocal"": 7.4}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 91, ""magnitudLocal"": 7.4}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 268, ""magnitudLocal"": 7.4}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 52, ""magnitudLocal"": 7.5}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 163, ""magnitudLocal"": 6.9}]","{""type"": ""Point"", ""coordinates"": [-16.050179, 69.504644]}"
ak600000017,5.1,mb,"Wellington, New Zealand",502.9,False,ci,,2123,automatic,2026-04-18T10:59:00Z,"[""hv"", ""nc"", ""ci""]","[{""codigo"": ""II.PFO"", ""distanciaKm"": 59, ""magnitudLocal"": 5.4}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 95, ""magnitudLocal"": 5.4}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 30, ""magnitudLocal"": 5.2}, {""codigo"": ""II.KIV"", ""distanciaKm"": 238, ""magnitudLocal"": 4.7}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 276, ""magnitudLocal"": 5.6}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 231, ""magnitudLocal"": 5.2}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 285, ""magnitudLocal"": 5.0}]","{""type"": ""Point"", ""coordinates"": [45.629437, -40.57246]}"
ak600000018,1.1,mww,"Granada, Spain",200.1,False,us,,3441,reviewed,2026-02-28T16:11:00Z,"[""pr"", ""ak"", ""nc""]","[{""codigo"": ""GE.STU"", ""distanciaKm"": 123, ""magnitudLocal"": 1.0}, {""codigo"": ""GE.STU"", ""distanciaKm"": 114, ""magnitudLocal"": 0.7}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 174, ""magnitudLocal"": 1.1}]","{""type"": ""Point"", ""coordinates"": [-43.06283, -88.938705]}"
ak600000019,3.3,mb,"Wellington, New Zealand",527.5,False,us,orange,411,reviewed,2026-11-02T02:55:00Z,"[""hv"", ""us""]","[{""codigo"": ""IU.CTAO"", ""distanciaKm"": 254, ""magnitudLocal"": 3.0}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 253, ""magnitudLocal"": 2.8}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 212, ""magnitudLocal"": 3.5}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 70, ""magnitudLocal"": 3.8}, {""codigo"": ""II.PFO"", ""distanciaKm"": 206, ""magnitudLocal"": 3.4}, {""codigo"": ""II.PFO"", ""distanciaKm"": 47, ""magnitudLocal"": 3.4}]","{""type"": ""Point"", ""coordinates"": [-16.308243, -29.249901]}"
ak600000020,7.5,ml,"Santiago, Chile",194.9,False,ci,,2099,reviewed,2026-03-01T15:24:00Z,"[""nc""]","[{""codigo"": ""II.PFO"", ""distanciaKm"": 281, ""magnitudLocal"": 7.1}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 119, ""magnitudLocal"": 7.7}, {""codigo"": ""II.PFO"", ""distanciaKm"": 20, ""magnitudLocal"": 7.9}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 15, ""magnitudLocal"": 7.6}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 69, ""magnitudLocal"": 7.5}]","{""type"": ""Point"", ""coordinates"": [38.609098, 44.626617]}"
ak600000021,1.4,mwr,"Granada, Spain",573.5,False,hv,,4364,reviewed,2026-01-19T16:45:00Z,"[""hv"", ""ak"", ""nc""]","[{""codigo"": ""AK.ADAG"", ""distanciaKm"": 208, ""magnitudLocal"": 1.8}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 43, ""magnitudLocal"": 1.5}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 57, ""magnitudLocal"": 1.6}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 66, ""magnitudLocal"": 1.7}]","{""type"": ""Point"", ""coordinates"": [53.115571, -87.722613]}"
ak600000022,3.9,mw,"Aleutian Islands, Alaska",343.2,False,ci,,1737,reviewed,2026-12-01T18:31:00Z,"[""hv"", ""uu""]","[{""codigo"": ""GE.STU"", ""distanciaKm"": 227, ""magnitudLocal"": 3.6}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 280, ""magnitudLocal"": 4.2}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 228, ""magnitudLocal"": 4.2}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 170, ""magnitudLocal"": 4.3}, {""codigo"": ""II.KIV"", ""distanciaKm"": 147, ""magnitudLocal"": 4.3}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 242, ""magnitudLocal"": 4.0}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 177, ""magnitudLocal"": 3.4}]","{""type"": ""Point"", ""coordinates"": [136.915193, 36.213075]}"
ak600000023,2.7,mw,"Mexico City, Mexico",7.2,False,pr,,4508,reviewed,2026-10-23T22:50:00Z,"[""pr"", ""ci""]","[{""codigo"": ""IU.CTAO"", ""distanciaKm"": 248, ""magnitudLocal"": 2.8}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 234, ""magnitudLocal"": 3.0}, {""codigo"": ""II.KIV"", ""distanciaKm"": 155, ""magnitudLocal"": 2.4}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 161, ""magnitudLocal"": 2.9}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 247, ""magnitudLocal"": 2.8}]","{""type"": ""Point"", ""coordinates"": [-82.470086, -44.747338]}"
ak600000024,1.5,mw,"Granada, Spain",134.9,False,pr,,4375,automatic,2026-05-15T19:43:00Z,"[""ak"", ""uu""]","[{""codigo"": ""IU.CTAO"", ""distanciaKm"": 252, ""magnitudLocal"": 1.3}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 56, ""magnitudLocal"": 1.8}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 121, ""magnitudLocal"": 1.4}]","{""type"": ""Point"", ""coordinates"": [19.209228, 35.535131]}"
ak600000025,1.5,mwr,"Jakarta, Indonesia",607.9,False,ak,green,2033,automatic,2026-07-27T01:11:00Z,"[""uu"", ""ci"", ""nc""]","[{""codigo"": ""HV.HILO"", ""distanciaKm"": 230, ""magnitudLocal"": 1.3}, {""codigo"": ""II.PFO"", ""distanciaKm"": 134, ""magnitudLocal"": 1.9}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 63, ""magnitudLocal"": 1.8}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 256, ""magnitudLocal"": 1.1}, {""codigo"": ""II.PFO"", ""distanciaKm"": 82, ""magnitudLocal"": 1.1}]","{""type"": ""Point"", ""coordinates"": [34.605664, 21.315303]}"
ak600000026,6.7,mww,"Wellington, New Zealand",266.3,False,hv,,267,automatic,2026-11-09T06:20:00Z,"[""pr"", ""hv""]","[{""codigo"": ""II.PFO"", ""distanciaKm"": 55, ""magnitudLocal"": 7.1}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 113, ""magnitudLocal"": 6.5}, {""codigo"": ""II.KIV"", ""distanciaKm"": 85, ""magnitudLocal"": 6.4}, {""codigo"": ""II.KIV"", ""distanciaKm"": 85, ""magnitudLocal"": 6.2}]","{""type"": ""Point"", ""coordinates"": [73.075521, -8.274361]}"
ak600000027,6.0,mw,"Mexico City, Mexico",646.7,False,hv,,4099,reviewed,2026-05-25T01:08:00Z,"[""ak"", ""nc""]","[{""codigo"": ""II.KIV"", ""distanciaKm"": 283, ""magnitudLocal"": 5.7}, {""codigo"": ""GE.STU"", ""distanciaKm"": 141, ""magnitudLocal"": 6.3}, {""codigo"": ""II.KIV"", ""distanciaKm"": 35, ""magnitudLocal"": 5.7}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 296, ""magnitudLocal"": 6.4}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 68, ""magnitudLocal"": 6.0}]","{""type"": ""Point"", ""coordinates"": [-165.650118, -12.23484]}"
ak600000028,3.1,mwr,"Granada, Spain",175.3,False,ci,orange,721,reviewed,2026-01-16T02:33:00Z,"[""hv"", ""ak""]","[{""codigo"": ""IU.ANMO"", ""distanciaKm"": 300, ""magnitudLocal"": 2.6}, {""codigo"": ""GE.STU"", ""distanciaKm"": 245, ""magnitudLocal"": 3.1}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 147, ""magnitudLocal"": 2.8}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 256, ""magnitudLocal"": 3.6}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 183, ""magnitudLocal"": 3.0}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 58, ""magnitudLocal"": 3.5}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 215, ""magnitudLocal"": 3.3}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 210, ""magnitudLocal"": 3.4}]","{""type"": ""Point"", ""coordinates"": [169.266502, -17.24849]}"
ak600000029,4.6,mb,"Jakarta, Indonesia",691.7,False,nc,,1073,reviewed,2026-10-28T22:01:00Z,"[""pr"", ""ci""]","[{""codigo"": ""IU.CTAO"", ""distanciaKm"": 270, ""magnitudLocal"": 4.5}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 231, ""magnitudLocal"": 4.9}]","{""type"": ""Point"", ""coordinates"": [-136.28661, 85.166427]}"
ak600000030,5.4,mw,"Jakarta, Indonesia",167.6,False,ci,,3952,reviewed,2026-10-25T02:09:00Z,"[""ci""]","[{""codigo"": ""IU.CTAO"", ""distanciaKm"": 63, ""magnitudLocal"": 5.4}, {""codigo"": ""II.KIV"", ""distanciaKm"": 83, ""magnitudLocal"": 5.4}]","{""type"": ""Point"", ""coordinates"": [18.455428, -20.954518]}"
ak600000031,7.9,mww,"Mexico City, Mexico",355.8,False,ci,green,1246,reviewed,2026-07-21T03:46:00Z,"[""us""]","[{""codigo"": ""AK.ADAG"", ""distanciaKm"": 179, ""magnitudLocal"": 8.3}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 6, ""magnitudLocal"": 7.7}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 255, ""magnitudLocal"": 8.3}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 280, ""magnitudLocal"": 7.9}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 287, ""magnitudLocal"": 8.2}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 238, ""magnitudLocal"": 8.3}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 127, ""magnitudLocal"": 8.0}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 215, ""magnitudLocal"": 7.4}]","{""type"": ""Point"", ""coordinates"": [0.824814, 16.232477]}"
ak600000032,7.5,mw,"Athens, Greece",611.9,False,nc,,3256,automatic,2026-11-29T17:23:00Z,"[""uu"", ""pr""]","[{""codigo"": ""GE.STU"", ""distanciaKm"": 214, ""magnitudLocal"": 7.9}, {""codigo"": ""GE.STU"", ""distanciaKm"": 43, ""magnitudLocal"": 7.5}]","{""type"": ""Point"", ""coordinates"": [129.363186, -21.598308]}"
ak600000033,3.0,mww,"Aleutian Islands, Alaska",503.1,False,us,green,4351,reviewed,2026-01-27T03:22:00Z,"[""pr"", ""us"", ""uu""]","[{""codigo"": ""II.KIV"", ""distanciaKm"": 125, ""magnitudLocal"": 3.1}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 121, ""magnitudLocal"": 3.2}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 55, ""magnitudLocal"": 3.3}, {""codigo"": ""II.KIV"", ""distanciaKm"": 232, ""magnitudLocal"": 2.7}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 19, ""magnitudLocal"": 2.5}, {""codigo"": ""II.PFO"", ""distanciaKm"": 155, ""magnitudLocal"": 2.9}]","{""type"": ""Point"", ""coordinates"": [-116.975032, 19.708522]}"
ak600000034,3.6,mw,"Santiago, Chile",478.2,False,ci,,3958,automatic,2026-06-19T01:47:00Z,"[""ci""]","[{""codigo"": ""IU.ANMO"", ""distanciaKm"": 240, ""magnitudLocal"": 3.4}, {""codigo"": ""II.PFO"", ""distanciaKm"": 243, ""magnitudLocal"": 4.0}, {""codigo"": ""GE.STU"", ""distanciaKm"": 42, ""magnitudLocal"": 3.5}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 158, ""magnitudLocal"": 3.7}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 133, ""magnitudLocal"": 3.6}]","{""type"": ""Point"", ""coordinates"": [25.892169, 13.466147]}"
ak600000035,8.4,mw,"Santiago, Chile",206.7,False,pr,,1557,reviewed,2026-07-19T20:53:00Z,"[""uu"", ""pr"", ""us""]","[{""codigo"": ""II.PFO"", ""distanciaKm"": 259, ""magnitudLocal"": 8.7}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 122, ""magnitudLocal"": 8.5}]","{""type"": ""Point"", ""coordinates"": [46.169317, 72.612667]}"
ak600000036,5.7,mwr,"Athens, Greece",216.3,False,nc,,4110,reviewed,2026-04-06T16:35:00Z,"[""hv""]","[{""codigo"": ""IU.ANMO"", ""distanciaKm"": 172, ""magnitudLocal"": 5.9}, {""codigo"": ""GE.STU"", ""distanciaKm"": 107, ""magnitudLocal"": 5.3}]","{""type"": ""Point"", ""coordinates"": [149.057623, 79.953807]}"
ak600000037,8.2,mww,"Granada, Spain",206.7,False,hv,green,4395,automatic,2026-12-08T00:41:00Z,"[""hv"", ""pr""]","[{""codigo"": ""GE.STU"", ""distanciaKm"": 120, ""magnitudLocal"": 8.6}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 290, ""magnitudLocal"": 8.1}]","{""type"": ""Point"", ""coordinates"": [89.644177, -42.810947]}"
ak600000038,3.5,ml,"Aleutian Islands, Alaska",447.0,False,ak,,304,reviewed,2026-12-10T07:39:00Z,"[""ak"", ""uu""]","[{""codigo"": ""IU.COLA"", ""distanciaKm"": 118, ""magnitudLocal"": 3.6}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 159, ""magnitudLocal"": 3.6}]","{""type"": ""Point"", ""coordinates"": [-95.471988, 6.758389]}"
ak600000039,3.6,mw,"Granada, Spain",259.8,False,ci,,2260,automatic,2026-11-02T04:46:00Z,"[""uu""]","[{""codigo"": ""GE.STU"", ""distanciaKm"": 217, ""magnitudLocal"": 3.8}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 213, ""magnitudLocal"": 4.0}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 21, ""magnitudLocal"": 3.8}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 232, ""magnitudLocal"": 3.5}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 190, ""magnitudLocal"": 3.2}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 283, ""magnitudLocal"": 4.0}]","{""type"": ""Point"", ""coordinates"": [116.708789, -73.498784]}"
ak600000040,2.2,mwr,"Granada, Spain",447.7,False,hv,,1185,automatic,2026-08-31T20:29:00Z,"[""hv"", ""us"", ""ak""]","[{""codigo"": ""GE.STU"", ""distanciaKm"": 294, ""magnitudLocal"": 1.9}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 115, ""magnitudLocal"": 2.5}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 173, ""magnitudLocal"": 2.5}]","{""type"": ""Point"", ""coordinates"": [57.980751, -85.359573]}"
ak600000041,0.6,mwr,"Granada, Spain",553.0,False,pr,,4271,reviewed,2026-05-07T21:10:00Z,"[""pr"", ""ak""]","[{""codigo"": ""II.PFO"", ""distanciaKm"": 69, ""magnitudLocal"": 0.8}, {""codigo"": ""II.KIV"", ""distanciaKm"": 37, ""magnitudLocal"": 0.6}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 267, ""magnitudLocal"": 0.7}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 262, ""magnitudLocal"": 0.3}]","{""type"": ""Point"", ""coordinates"": [-158.102853, -3.783256]}"
ak600000042,3.7,mww,"Jakarta, Indonesia",480.3,False,ci,yellow,4141,reviewed,2026-02-23T12:20:00Z,"[""uu""]","[{""codigo"": ""IU.COLA"", ""distanciaKm"": 80, ""magnitudLocal"": 3.3}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 285, ""magnitudLocal"": 3.9}]","{""type"": ""Point"", ""coordinates"": [72.640591, 63.502693]}"
ak600000043,5.7,mw,"Athens, Greece",538.3,False,us,,3885,automatic,2026-11-25T19:29:00Z,"[""uu""]","[{""codigo"": ""AK.ADAG"", ""distanciaKm"": 178, ""magnitudLocal"": 6.0}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 217, ""magnitudLocal"": 5.9}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 223, ""magnitudLocal"": 5.5}]","{""type"": ""Point"", ""coordinates"": [-149.268831, -12.262227]}"
ak600000044,6.5,mwr,"Granada, Spain",260.9,False,nc,,2190,automatic,2026-08-29T00:58:00Z,"[""hv""]","[{""codigo"": ""II.KIV"", ""distanciaKm"": 215, ""magnitudLocal"": 6.4}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 31, ""magnitudLocal"": 7.0}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 185, ""magnitudLocal"": 6.1}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 84, ""magnitudLocal"": 6.7}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 60, ""magnitudLocal"": 6.4}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 63, ""magnitudLocal"": 6.8}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 224, ""magnitudLocal"": 6.8}]","{""type"": ""Point"", ""coordinates"": [72.971558, -34.382756]}"
